@relation viterbi_ok1-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R27-I-1

@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute IdW numeric
@attribute TotLines numeric
@attribute Prop {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {0.0,yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {0.0,T1,R1,SP1}
@attribute TH3 {0.0,T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute Gender {f,m}
@attribute N.Syll. numeric
@attribute Tobi-1 {0.0,S,L*+H,LH-,U,H*,LL-,L*,HL-}
@attribute 'Copy of PoS-1' {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of IdW-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of Prop-1' {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {0.0,yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {0.0,T1,R1,SP1}
@attribute 'Copy of TH3-1' {0.0,T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of Gender-1' {f,m}
@attribute 'Copy of N.Syll.-1' numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
NN,COORD,18,25,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U,DT,NMOD,17,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H
CC,COORD,19,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H,NN,COORD,18,25,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U
DT,NMOD,20,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,CC,COORD,19,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,HMOD,21,25,0.0,0.0,R1,0.0,0.0,2,Z,f,4,U,DT,NMOD,20,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*
NN,CONJ,24,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*,NN,HMOD,21,25,0.0,0.0,R1,0.0,0.0,2,Z,f,4,LL-
DT,NMOD,1,20,0.0,0.0,SP1,0.0,0.0,3,A,f,1,0.0,NN,CONJ,24,25,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,SBJ,2,20,0.0,0.0,SP1,0.0,0.0,3,A,f,3,U,DT,NMOD,1,20,0.0,0.0,SP1,0.0,0.0,3,A,f,1,L*+H
VBD,ROOT,3,20,0.0,0.0,SP1,0.0,0.0,3,A,f,1,L*+H,NN,SBJ,2,20,0.0,0.0,SP1,0.0,0.0,3,A,f,3,S
DT,NMOD,4,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,S,VBD,ROOT,3,20,0.0,0.0,SP1,0.0,0.0,3,A,f,1,U
NN,SBJ,5,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,U,DT,NMOD,4,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,HL-
IN,LOC,7,20,0.0,0.0,T1,0.0,0.0,3,B,f,2,HL-,NN,SBJ,5,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,L*+H
NN,PMOD,8,20,0.0,0.0,T1,0.0,0.0,3,B,f,2,L*+H,IN,LOC,7,20,0.0,0.0,T1,0.0,0.0,3,B,f,2,S
IN,NMOD,9,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,S,NN,PMOD,8,20,0.0,0.0,T1,0.0,0.0,3,B,f,2,U
DT,NMOD,10,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,U,IN,NMOD,9,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,U
NN,PMOD,11,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,U,DT,NMOD,10,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,LH-
MD,OBJ,13,20,0.0,0.0,R1,0.0,0.0,3,Z,f,1,LH-,NN,PMOD,11,20,0.0,0.0,T1,0.0,0.0,3,B,f,1,U
VB,VC,14,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,U,MD,OBJ,13,20,0.0,0.0,R1,0.0,0.0,3,Z,f,1,H*
NNS,OBJ,15,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,H*,VB,VC,14,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,S
IN,ADV,16,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,S,NNS,OBJ,15,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,S
JJ,NMOD,17,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,S,IN,ADV,16,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,L*+H
NN,NMOD,18,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,L*+H,JJ,NMOD,17,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,S
NNS,PMOD,19,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,S,NN,NMOD,18,20,0.0,0.0,R1,0.0,0.0,3,Z,f,3,LL-
NNP,NAME,1,29,0.0,0.0,T1,0.0,0.0,2,A,f,3,0.0,NNS,PMOD,19,20,0.0,0.0,R1,0.0,0.0,3,Z,f,2,L*+H
NNP,NAME,2,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H,NNP,NAME,1,29,0.0,0.0,T1,0.0,0.0,2,A,f,3,S
NNP,SBJ,3,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,S,NNP,NAME,2,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,LH-
CD,NMOD,5,29,0.0,0.0,T1,0.0,0.0,2,A,f,4,LH-,NNP,SBJ,3,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,L*+H
NNS,AMOD,6,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H,CD,NMOD,5,29,0.0,0.0,T1,0.0,0.0,2,A,f,4,S
JJ,APPO,7,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,NNS,AMOD,6,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,HL-
DT,NMOD,9,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,HL-,JJ,APPO,7,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,U
JJ,NMOD,10,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,U,DT,NMOD,9,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,H*
NN,NMOD,11,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,H*,JJ,NMOD,10,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,S
NN,APPO,12,29,0.0,0.0,T1,0.0,0.0,2,A,f,3,S,NN,NMOD,11,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,S
IN,LOC,13,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,NN,APPO,12,29,0.0,0.0,T1,0.0,0.0,2,A,f,3,S
DT,NMOD,14,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,IN,LOC,13,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,S
NN,NMOD,15,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,S,DT,NMOD,14,29,0.0,0.0,T1,0.0,0.0,2,A,f,1,H*
NN,PMOD,16,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,H*,NN,NMOD,15,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,LL-
VBD,ROOT,18,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-,NN,PMOD,16,29,0.0,0.0,T1,0.0,0.0,2,A,f,2,U
VBN,VC,19,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U,VBD,ROOT,18,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H
NN,OPRD,20,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,L*+H,VBN,VC,19,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,H*
IN,NMOD,21,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,NN,OPRD,20,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U
PRP$,NMOD,22,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,IN,NMOD,21,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,NMOD,23,29,0.0,0.0,R1,0.0,0.0,2,Z,f,4,U,PRP$,NMOD,22,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
NN,PMOD,24,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,NN,NMOD,23,29,0.0,0.0,R1,0.0,0.0,2,Z,f,4,LL-
DT,NMOD,26,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-,NN,PMOD,24,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
JJ,NMOD,27,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,DT,NMOD,26,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*
NN,APPO,28,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,L*,JJ,NMOD,27,29,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-
DT,NMOD,1,13,0.0,0.0,T1,0.0,0.0,2,A,f,1,0.0,NN,APPO,28,29,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U
NN,SBJ,2,13,0.0,0.0,T1,0.0,0.0,2,A,f,3,U,DT,NMOD,1,13,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H
NNP,NAME,3,13,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H,NN,SBJ,2,13,0.0,0.0,T1,0.0,0.0,2,A,f,3,S
NNP,APPO,4,13,0.0,0.0,T1,0.0,0.0,2,A,f,3,S,NNP,NAME,3,13,0.0,0.0,T1,0.0,0.0,2,A,f,1,HL-
VBZ,DEP,5,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-,NNP,APPO,4,13,0.0,0.0,T1,0.0,0.0,2,A,f,3,U
VBN,VC,6,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,VBZ,DEP,5,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
DT,NMOD,7,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,VBN,VC,6,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
JJ,NMOD,8,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,DT,NMOD,7,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*
NN,OBJ,9,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,JJ,NMOD,8,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
IN,NMOD,10,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S,NN,OBJ,9,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
DT,NMOD,11,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,IN,NMOD,10,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
NN,PMOD,12,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,DT,NMOD,11,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-
NNP,NAME,1,13,0.0,0.0,T1,0.0,0.0,2,A,f,2,0.0,NN,PMOD,12,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H
NNP,SBJ,2,13,0.0,0.0,T1,0.0,0.0,2,A,f,2,L*+H,NNP,NAME,1,13,0.0,0.0,T1,0.0,0.0,2,A,f,2,S
VBZ,NMOD,3,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,NNP,SBJ,2,13,0.0,0.0,T1,0.0,0.0,2,A,f,2,U
VBN,VC,4,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,VBZ,NMOD,3,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
DT,NMOD,5,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,VBN,VC,4,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
NN,OBJ,6,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,DT,NMOD,5,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LH-
RBR,AMOD,8,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LH-,NN,OBJ,6,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S
NN,HMOD,9,13,0.0,0.0,R1,0.0,0.0,2,Z,f,4,S,RBR,AMOD,8,13,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*
NN,ROOT,12,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,H*,NN,HMOD,9,13,0.0,0.0,R1,0.0,0.0,2,Z,f,4,LL-
CC,DEP,1,18,0.0,0.0,SP1,0.0,0.0,3,A,f,1,0.0,NN,ROOT,12,13,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
PRP,SBJ,2,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,1,U,CC,DEP,1,18,0.0,0.0,SP1,0.0,0.0,3,A,f,1,U
MD,ROOT,3,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,1,U,PRP,SBJ,2,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,1,L*+H
VB,VC,5,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,2,L*+H,MD,ROOT,3,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,1,S
NNP,TITLE,6,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,S,VB,VC,5,18,0.0,0.0,R1-1,0.0,0.0,3,B,f,2,S
NNP,NMOD,7,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,S,NNP,TITLE,6,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,L*+H
NN,OBJ,9,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,L*+H,NNP,NMOD,7,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,S
CC,COORD,10,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,S,NN,OBJ,9,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,L*+H
PRP$,NMOD,11,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,L*+H,CC,COORD,10,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,U
NNS,CONJ,12,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,U,PRP$,NMOD,11,18,0.0,0.0,T1,0.0,0.0,3,C,f,1,HL-
IN,ADV,13,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,1,HL-,NNS,CONJ,12,18,0.0,0.0,T1,0.0,0.0,3,C,f,2,U
RB,AMOD,14,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,2,U,IN,ADV,13,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,1,S
JJ,PMOD,15,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,3,S,RB,AMOD,14,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,2,H*
CC,COORD,16,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,1,H*,JJ,PMOD,15,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,3,U
JJ,CONJ,17,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,2,U,CC,COORD,16,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,1,LL-
PRP,SBJ,1,12,P2,no,T1,0.0,0.0,7,A,f,1,0.0,JJ,CONJ,17,18,0.0,0.0,R1-2,0.0,0.0,3,Z,f,2,U
VBZ,ROOT,2,12,P2,no,R1,0.0,0.0,7,B,f,2,U,PRP,SBJ,1,12,P2,no,T1,0.0,0.0,7,A,f,1,L*+H
IN,ADV,3,12,P2,no,R1,0.0,0.0,7,B,f,1,L*+H,VBZ,ROOT,2,12,P2,no,R1,0.0,0.0,7,B,f,2,U
WP,OBJ,4,12,P3,yes,T1,0.0,0.0,7,C,f,1,U,IN,ADV,3,12,P2,no,R1,0.0,0.0,7,B,f,1,U
PRP,SBJ,5,12,P3,yes,R1,0.0,0.0,7,D,f,1,U,WP,OBJ,4,12,P3,yes,T1,0.0,0.0,7,C,f,1,U
VBZ,PMOD,6,12,P3,yes,R1,0.0,0.0,7,D,f,1,U,PRP,SBJ,5,12,P3,yes,R1,0.0,0.0,7,D,f,1,HL-
CC,COORD,8,12,P4,no,SP1,0.0,0.0,7,E,f,1,HL-,VBZ,PMOD,6,12,P3,yes,R1,0.0,0.0,7,D,f,1,U
PRP,SBJ,9,12,P4,no,T1,0.0,0.0,7,F,f,1,U,CC,COORD,8,12,P4,no,SP1,0.0,0.0,7,E,f,1,U
VBZ,CONJ,10,12,P4,no,R1,0.0,0.0,7,Z,f,1,U,PRP,SBJ,9,12,P4,no,T1,0.0,0.0,7,F,f,1,H*
RB,MNR,11,12,P4,no,R1,0.0,0.0,7,Z,f,3,H*,VBZ,CONJ,10,12,P4,no,R1,0.0,0.0,7,Z,f,1,LL-
PRP$,NMOD,1,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,0.0,RB,MNR,11,12,P4,no,R1,0.0,0.0,7,Z,f,3,U
JJ,NMOD,2,21,0.0,0.0,T1,0.0,0.0,2,A,f,2,U,PRP$,NMOD,1,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H
NN,SBJ,3,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,L*+H,JJ,NMOD,2,21,0.0,0.0,T1,0.0,0.0,2,A,f,2,S
IN,LOC,4,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,NN,SBJ,3,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,S
DT,NMOD,5,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,IN,LOC,4,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,U
NNP,NAME,6,21,0.0,0.0,T1,0.0,0.0,2,A,f,5,U,DT,NMOD,5,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,H*
NNP,PMOD,7,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,H*,NNP,NAME,6,21,0.0,0.0,T1,0.0,0.0,2,A,f,5,S
VBD,OBJ,9,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,NNP,PMOD,7,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,LL-
DT,NMOD,11,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,LL-,VBD,OBJ,9,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,U
JJ,NMOD,12,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,U,DT,NMOD,11,21,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H
NNP,OBJ,13,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,L*+H,JJ,NMOD,12,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,LH-
VBD,ROOT,16,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LH-,NNP,OBJ,13,21,0.0,0.0,T1,0.0,0.0,2,A,f,3,U
DT,NMOD,17,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,VBD,ROOT,16,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,SBJ,18,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,DT,NMOD,17,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*
IN,NMOD,19,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,NN,SBJ,18,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,PMOD,20,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,IN,NMOD,19,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-
PRP,SBJ,1,23,0.0,0.0,T1,0.0,0.0,2,A,f,1,0.0,NN,PMOD,20,21,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
VBD,ROOT,2,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,PRP,SBJ,1,23,0.0,0.0,T1,0.0,0.0,2,A,f,1,H*
RBR,PMOD,3,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,VBD,ROOT,2,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
IN,ADV,4,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,RBR,PMOD,3,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
DT,NMOD,5,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,IN,ADV,4,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NN,PMOD,6,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,DT,NMOD,5,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LH-
CC,COORD,8,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LH-,NN,PMOD,6,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
DT,NMOD,9,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,CC,COORD,8,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
RB,AMOD,10,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,DT,NMOD,9,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H
VBN,NMOD,11,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H,RB,AMOD,10,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S
NN,NMOD,12,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,VBN,NMOD,11,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*
NN,CONJ,13,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*,NN,NMOD,12,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
IN,NMOD,14,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,NN,CONJ,13,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
DT,NMOD,15,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,IN,NMOD,14,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
DT,NMOD,16,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,DT,NMOD,15,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*
NNS,PMOD,17,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,DT,NMOD,16,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-
IN,PMOD,19,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-,NNS,PMOD,17,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
DT,NMOD,20,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,IN,PMOD,19,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
JJ,NMOD,21,23,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U,DT,NMOD,20,23,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*
NN,PMOD,22,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*,JJ,NMOD,21,23,0.0,0.0,R1,0.0,0.0,2,Z,f,3,LL-
PRP,SBJ,1,35,0.0,0.0,T1,0.0,0.0,2,A,f,1,0.0,NN,PMOD,22,23,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
VBD,DEP,2,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,PRP,SBJ,1,35,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H
IN,DIR,3,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H,VBD,DEP,2,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S
NNP,NAME,4,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S,IN,DIR,3,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,H*
DT,NMOD,9,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,NNP,NAME,4,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
NN,PMOD,10,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,DT,NMOD,9,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-
IN,NMOD,12,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-,NN,PMOD,10,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NNP,DEP,14,35,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U,IN,NMOD,12,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*
IN,NMOD,15,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,H*,NNP,DEP,14,35,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U
DT,NMOD,16,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U,IN,NMOD,15,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NNS,PMOD,17,35,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U,DT,NMOD,16,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-
DT,NMOD,20,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-,NNS,PMOD,17,35,0.0,0.0,R1,0.0,0.0,2,Z,f,3,U
JJ,NMOD,21,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,DT,NMOD,20,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H
NN,NMOD,22,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H,JJ,NMOD,21,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S
NN,DEP,23,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,NN,NMOD,22,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S
IN,NMOD,24,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,S,NN,DEP,23,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,U
NNS,PMOD,25,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,IN,NMOD,24,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-
IN,NMOD,27,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,HL-,NNS,PMOD,25,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U
JJ,NMOD,28,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,U,IN,NMOD,27,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H
JJ,NMOD,30,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H,JJ,NMOD,28,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,L*+H
NN,PMOD,31,35,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H,JJ,NMOD,30,35,0.0,0.0,R1,0.0,0.0,2,Z,f,2,S
